case,sample,wall_time,ros_time,point_count,min_x,max_x,min_y,max_y,final_linear_x,final_linear_y,final_angular_z,odom_x,odom_y,odom_yaw
forward,44,102538.153984893,273.29900000000004,1008,-0.39337347500936626,0.3521352876665528,-0.1687906893066795,0.16367447967127516,0.15,0.0,0.0,0.27344000491740994,0.512001233360362,0.7614182483713008
forward,45,102538.256559656,273.399,1008,-0.37901627530171744,0.3497096454583409,-0.19493222492509393,0.1656691636110513,0.15,0.0,0.0,0.27216981243490734,0.5264283434050989,0.7584402523395685
forward,46,102538.351503442,273.494,1008,-0.39805534162784817,0.35228778979858827,-0.17155670425145333,0.16377961032204277,0.15,0.0,0.0,0.2822275258302856,0.5269718101968819,0.7547469534749957
forward,47,102538.458629034,273.599,1008,-0.3838810484323968,0.3502989769044483,-0.1650157722258223,0.18363104263138105,0.15,0.0,0.0,0.30755503699852016,0.5293444667440593,0.73603185012605
forward,48,102538.554065379,273.694,1008,-0.387004202641804,0.3519948344971094,-0.16367519136267542,0.1830661242169399,0.15,0.0,0.0,0.314034025085592,0.5291798358049798,0.756987293118294
forward,49,102538.655337028,273.78900000000004,1008,-0.39482160843426295,0.35095691350900077,-0.16232200493701732,0.16591260839363872,0.15,0.0,0.0,0.31784089263838483,0.5462263516214629,0.7716852741948501
forward,50,102538.758913693,273.894,1008,-0.3835683399607771,0.35161011267402237,-0.18839061603734794,0.1635767586190933,0.15,0.0,0.0,0.31892232368805096,0.5622881478315155,0.75971426250015
forward,51,102538.849229903,273.98400000000004,1008,-0.3963163060229842,0.35231874777300853,-0.16704363789585197,0.16308582839789584,0.15,0.0,0.0,0.32790085994623497,0.5643365788539889,0.7385674176244929
forward,52,102538.951841645,274.084,1008,-0.3880451354604646,0.3509160976102223,-0.1647902208990395,0.18078921467578984,0.15,0.0,0.0,0.34581717674700785,0.5683011773968882,0.7385628088542534
forward,53,102539.057363014,274.184,1008,-0.3854121745329687,0.35181775974378604,-0.16508734611023151,0.17602197978042664,0.15,0.0,0.0,0.352018157133679,0.5709098044026274,0.7735808211866397
forward,54,102539.149460259,274.279,1008,-0.39678142137709305,0.35119156451985584,-0.16270655415011348,0.16641126406956522,0.15,0.0,0.0,0.3558567271772092,0.5879542544332117,0.7859925374927516
forward,55,102539.251946113,274.379,1008,-0.38168967411451027,0.35123590129640375,-0.1887509684096921,0.16393163815411826,0.15,0.0,0.0,0.35650609531838284,0.6019785939453912,0.7678910989425864
forward,56,102539.354990502,274.47900000000004,1008,-0.3965830025245496,0.35245778859389976,-0.16811884479060588,0.1633502183637117,0.15,0.0,0.0,0.36694067876020153,0.6022882489836212,0.7591974785221272
